window_start,window_end,wind_speed_mean,wind_speed_median,wind_speed_max,wind_dir_mean,wind_dir_median,wind_dir_std
2024-06-11 09:00:00,2024-06-11 12:00:00,0.8,0.7,3.5,262.0,262.0,78.0
2024-06-11 10:30:00,2024-06-11 13:30:00,0.7,0.6,3.2,231.0,231.0,111.0
2024-06-11 12:00:00,2024-06-11 15:00:00,0.8,0.7,3.2,253.0,253.0,93.0
2024-06-11 13:30:00,2024-06-11 16:30:00,0.6,0.6,2.5,270.0,270.0,74.0
2024-06-11 15:00:00,2024-06-11 18:00:00,0.5,0.4,2.5,287.0,287.0,71.0
2024-06-11 16:30:00,2024-06-11 19:30:00,0.3,0.2,1.5,282.0,282.0,97.0
2024-06-11 18:00:00,2024-06-11 21:00:00,0.2,0.2,0.8,358.0,358.0,103.0
2024-06-11 19:30:00,2024-06-11 22:30:00,0.3,0.3,0.9,338.0,338.0,77.0
2024-06-11 21:00:00,2024-06-12 00:00:00,0.3,0.3,1.0,308.0,308.0,59.0
2024-06-12 00:00:00,2024-06-12 03:00:00,0.3,0.3,1.1,320.0,320.0,67.0
2024-06-11 22:30:00,2024-06-12 01:30:00,0.4,0.3,1.1,305.0,305.0,31.0
2024-06-12 03:00:00,2024-06-12 06:00:00,0.3,0.3,1.3,247.0,247.0,105.0
2024-06-12 01:30:00,2024-06-12 04:30:00,0.2,0.2,0.8,336.0,336.0,80.0
2024-06-12 04:30:00,2024-06-12 07:30:00,0.6,0.5,3.1,155.0,155.0,66.0
2024-06-12 06:00:00,2024-06-12 09:00:00,0.8,0.7,3.1,126.0,126.0,77.0
2024-06-12 07:30:00,2024-06-12 10:30:00,1.2,1.0,5.3,114.0,114.0,60.0
2024-06-12 10:30:00,2024-06-12 13:30:00,1.0,0.9,4.4,163.0,163.0,92.0
2024-06-12 09:00:00,2024-06-12 12:00:00,1.4,1.2,5.3,134.0,134.0,57.0
2024-06-12 12:00:00,2024-06-12 15:00:00,0.9,0.8,4.2,89.0,89.0,86.0
2024-06-12 13:30:00,2024-06-12 16:30:00,1.0,0.9,4.2,83.0,83.0,53.0
2024-06-12 15:00:00,2024-06-12 18:00:00,1.1,1.0,4.2,76.0,76.0,39.0
2024-06-12 16:30:00,2024-06-12 19:30:00,0.8,0.7,3.9,69.0,69.0,35.0
2024-06-12 18:00:00,2024-06-12 21:00:00,0.5,0.4,3.3,47.0,47.0,47.0
2024-06-12 19:30:00,2024-06-12 22:30:00,0.3,0.3,1.5,7.0,7.0,44.0
2024-06-12 21:00:00,2024-06-13 00:00:00,0.2,0.2,0.6,343.0,343.0,36.0
2024-06-12 22:30:00,2024-06-13 01:30:00,0.4,0.3,2.9,318.0,318.0,45.0
2024-06-13 00:00:00,2024-06-13 03:00:00,0.4,0.4,2.9,311.0,311.0,54.0
2024-06-13 03:00:00,2024-06-13 06:00:00,0.7,0.7,3.9,279.0,279.0,69.0
2024-06-13 01:30:00,2024-06-13 04:30:00,0.5,0.4,2.3,306.0,306.0,54.0
2024-06-13 04:30:00,2024-06-13 07:30:00,0.9,0.8,4.6,185.0,185.0,113.0
2024-06-13 06:00:00,2024-06-13 09:00:00,0.8,0.7,4.6,170.0,170.0,111.0
2024-06-13 07:30:00,2024-06-13 10:30:00,0.9,0.7,4.6,256.0,256.0,93.0
2024-06-13 09:00:00,2024-06-13 12:00:00,1.2,1.1,4.6,271.0,271.0,75.0
2024-06-13 10:30:00,2024-06-13 13:30:00,1.3,1.2,4.6,270.0,270.0,71.0
2024-06-13 12:00:00,2024-06-13 15:00:00,1.2,1.2,4.7,271.0,271.0,60.0
2024-06-13 13:30:00,2024-06-13 16:30:00,1.1,1.0,4.7,272.0,272.0,57.0
2024-06-13 15:00:00,2024-06-13 18:00:00,0.7,0.5,4.7,239.0,239.0,79.0
2024-06-13 18:00:00,2024-06-13 21:00:00,0.3,0.3,2.2,357.0,357.0,61.0
2024-06-13 16:30:00,2024-06-13 19:30:00,0.3,0.3,1.5,296.0,296.0,126.0
2024-06-13 19:30:00,2024-06-13 22:30:00,0.3,0.3,2.2,11.0,11.0,56.0
2024-06-13 21:00:00,2024-06-14 00:00:00,0.4,0.4,1.1,37.0,37.0,52.0
2024-06-14 00:00:00,2024-06-14 03:00:00,0.4,0.3,1.8,20.0,20.0,88.0
2024-06-13 22:30:00,2024-06-14 01:30:00,0.4,0.4,1.8,48.0,48.0,75.0
2024-06-14 01:30:00,2024-06-14 04:30:00,0.4,0.3,1.7,47.0,47.0,58.0
2024-06-14 03:00:00,2024-06-14 06:00:00,0.5,0.4,2.5,103.0,103.0,86.0
2024-06-14 06:00:00,2024-06-14 09:00:00,1.1,1.1,4.5,262.0,262.0,43.0
2024-06-14 04:30:00,2024-06-14 07:30:00,0.7,0.6,2.7,223.0,223.0,63.0
2024-06-14 07:30:00,2024-06-14 10:30:00,1.4,1.3,4.7,281.0,281.0,35.0
2024-06-14 09:00:00,2024-06-14 12:00:00,1.1,1.0,4.7,278.0,278.0,57.0
2024-06-14 10:30:00,2024-06-14 13:30:00,1.1,1.0,4.6,171.0,171.0,92.0
2024-06-14 12:00:00,2024-06-14 15:00:00,1.4,1.3,4.9,135.0,135.0,49.0
2024-06-14 13:30:00,2024-06-14 16:30:00,1.4,1.3,4.9,206.0,206.0,79.0
2024-06-14 15:00:00,2024-06-14 18:00:00,1.1,1.0,4.0,272.0,272.0,55.0
2024-06-14 18:00:00,2024-06-14 21:00:00,0.4,0.4,2.2,358.0,358.0,66.0
2024-06-14 16:30:00,2024-06-14 19:30:00,0.6,0.4,3.7,321.0,321.0,60.0
2024-06-14 19:30:00,2024-06-14 22:30:00,0.4,0.3,1.8,9.0,9.0,71.0
2024-06-14 21:00:00,2024-06-15 00:00:00,0.4,0.4,1.5,354.0,354.0,65.0
2024-06-14 22:30:00,2024-06-15 01:30:00,0.8,0.7,3.2,53.0,53.0,61.0
2024-06-15 00:00:00,2024-06-15 03:00:00,1.0,0.9,3.2,83.0,83.0,19.0
2024-06-15 01:30:00,2024-06-15 04:30:00,0.8,0.7,3.2,94.0,94.0,31.0
2024-06-15 03:00:00,2024-06-15 06:00:00,1.7,1.2,8.4,152.0,152.0,120.0
2024-06-15 04:30:00,2024-06-15 07:30:00,2.5,2.4,8.4,272.0,272.0,36.0
2024-06-15 06:00:00,2024-06-15 09:00:00,2.0,1.7,8.1,266.0,266.0,27.0
2024-06-15 07:30:00,2024-06-15 10:30:00,1.9,1.8,6.5,263.0,263.0,25.0
2024-06-15 09:00:00,2024-06-15 12:00:00,2.1,2.0,6.5,264.0,264.0,20.0
2024-06-15 10:30:00,2024-06-15 13:30:00,2.1,2.0,6.0,265.0,265.0,21.0
2024-06-15 12:00:00,2024-06-15 15:00:00,2.0,2.0,6.0,265.0,265.0,24.0
